text
"In 1965, Africa consumed 323.50 TWh of coal."
"In 1966, Africa consumed 323.12 TWh of coal."
"In 1967, Africa consumed 330.29 TWh of coal."
"In 1968, Africa consumed 343.51 TWh of coal."
"In 1969, Africa consumed 346.64 TWh of coal."
"In 1970, Africa consumed 360.76 TWh of coal."
"In 1971, Africa consumed 383.01 TWh of coal."
"In 1972, Africa consumed 384.21 TWh of coal."
"In 1973, Africa consumed 408.91 TWh of coal."
"In 1974, Africa consumed 425.65 TWh of coal."
"In 1975, Africa consumed 451.08 TWh of coal."
"In 1976, Africa consumed 481.07 TWh of coal."
"In 1977, Africa consumed 491.70 TWh of coal."
"In 1978, Africa consumed 477.82 TWh of coal."
"In 1979, Africa consumed 507.25 TWh of coal."
"In 1980, Africa consumed 543.56 TWh of coal."
"In 1981, Africa consumed 635.80 TWh of coal."
"In 1982, Africa consumed 701.18 TWh of coal."
"In 1983, Africa consumed 713.25 TWh of coal."
"In 1984, Africa consumed 762.90 TWh of coal."
"In 1985, Africa consumed 787.17 TWh of coal."
"In 1986, Africa consumed 805.36 TWh of coal."
"In 1987, Africa consumed 828.32 TWh of coal."
"In 1988, Africa consumed 890.16 TWh of coal."
"In 1989, Africa consumed 835.62 TWh of coal."
"In 1990, Africa consumed 877.68 TWh of coal."
"In 1991, Africa consumed 853.76 TWh of coal."
"In 1992, Africa consumed 858.83 TWh of coal."
"In 1993, Africa consumed 871.71 TWh of coal."
"In 1994, Africa consumed 894.45 TWh of coal."
"In 1995, Africa consumed 922.47 TWh of coal."
"In 1996, Africa consumed 935.23 TWh of coal."
"In 1997, Africa consumed 959.02 TWh of coal."
"In 1998, Africa consumed 937.04 TWh of coal."
"In 1999, Africa consumed 966.01 TWh of coal."
"In 2000, Africa consumed 963.73 TWh of coal."
"In 2001, Africa consumed 975.93 TWh of coal."
"In 2002, Africa consumed 934.42 TWh of coal."
"In 2003, Africa consumed 1017.05 TWh of coal."
"In 2004, Africa consumed 1119.16 TWh of coal."
"In 2005, Africa consumed 1039.07 TWh of coal."
"In 2006, Africa consumed 1054.10 TWh of coal."
"In 2007, Africa consumed 1071.63 TWh of coal."
