Year,Coal Consumption - TWh
1965-01-01,323.49615
1966-01-01,323.1222
1967-01-01,330.29156
1968-01-01,343.5129
1969-01-01,346.64288
1970-01-01,360.7569
1971-01-01,383.0123
1972-01-01,384.21082
1973-01-01,408.9103
1974-01-01,425.64618
1975-01-01,451.08047
1976-01-01,481.07413
1977-01-01,491.69846
1978-01-01,477.81558
1979-01-01,507.24698
1980-01-01,543.55707
1981-01-01,635.79877
1982-01-01,701.17584
1983-01-01,713.24603
1984-01-01,762.8979
1985-01-01,787.16583
1986-01-01,805.356
1987-01-01,828.3197
1988-01-01,890.16077
1989-01-01,835.62085
1990-01-01,877.6782
1991-01-01,853.76215
1992-01-01,858.8312
1993-01-01,871.7139
1994-01-01,894.4478
1995-01-01,922.47125
1996-01-01,935.2283
1997-01-01,959.01904
1998-01-01,937.03894
1999-01-01,966.0107
2000-01-01,963.73047
2001-01-01,975.9262
2002-01-01,934.42163
2003-01-01,1017.0484
2004-01-01,1119.1619
2005-01-01,1039.0729
2006-01-01,1054.097
2007-01-01,1071.6333
2008-01-01,1180.7251
2009-01-01,1176.002
2010-01-01,1167.1663
2011-01-01,1149.025
2012-01-01,1120.1858
2013-01-01,1132.1521
2014-01-01,1185.7092
2015-01-01,1123.2715
2016-01-01,1191.6005
2017-01-01,1192.7607
2018-01-01,1170.1332
2019-01-01,1236.2761
2020-01-01,1195.1685
2021-01-01,1197.929
