Year,Coal Consumption - TWh
1965-01-01,413.40735
1966-01-01,412.41534
1967-01-01,419.28525
1968-01-01,433.8247
1969-01-01,460.8412
1970-01-01,436.80887
1971-01-01,442.8722
1972-01-01,467.68307
1973-01-01,461.44937
1974-01-01,520.8561
1975-01-01,559.9062
1976-01-01,583.0348
1977-01-01,610.3462
1978-01-01,590.66406
1979-01-01,627.49286
1980-01-01,659.565
1981-01-01,742.1424
1982-01-01,733.90405
1983-01-01,779.04803
1984-01-01,818.31085
1985-01-01,857.39703
1986-01-01,921.24005
1987-01-01,1011.6298
1988-01-01,1085.5574
1989-01-01,1179.941
1990-01-01,1276.025
1991-01-01,1357.8776
1992-01-01,1438.2565
1993-01-01,1489.6254
1994-01-01,1537.2871
1995-01-01,1631.6134
1996-01-01,1678.4825
1997-01-01,1755.3625
1998-01-01,1813.659
1999-01-01,1796.674
2000-01-01,1911.1661
2001-01-01,1926.9531
2002-01-01,2012.7899
2003-01-01,2107.9834
2004-01-01,2243.5286
2005-01-01,2456.1133
2006-01-01,2549.8647
2007-01-01,2790.2725
2008-01-01,3020.762
2009-01-01,3268.2656
2010-01-01,3348.546
2011-01-01,3478.864
2012-01-01,3787.818
2013-01-01,4009.7288
2014-01-01,4401.073
2015-01-01,4490.47
2016-01-01,4587.692
2017-01-01,4737.1567
2018-01-01,4981.6016
2019-01-01,4989.023
2020-01-01,4714.672
